Nombre del recurso,Academia/Instituto,Archivos,Descripción del recurso,Efecto panico,Función del mensaje,Idioma que enseña,Link,Material Base,Número,Subítem,Texto,Tipo de palabra,Tipo de recurso,Tipo de signo,descripción del signo,ítem principal
Saludo Formal,U.Chile,Captura_de_pantalla_2025-06-11_234618.png,"• Un recuadro blanco central con diálogos en chino
• Cada línea presenta:
    ◦ Pinyin (transcripción fonética) en la parte superior
    ◦ Caracteres chinos en tamaño más grande
    ◦ Nombres de los interlocutores: ""Lán Xiānsheng"" (蓝先生) y ""Zhāng Xiānsheng"" (张先生)
El diálogo muestra una conversación formal entre dos personas:
• ""¿Cómo está usted?"" (您好吗?)
• ""Estoy muy bien, ¿y usted?"" (我很好，您呢?)
• ""También estoy muy bien, ¡gracias!"" (我也很好，谢谢!)
• ""¿Está usted ocupado?"" (您忙吗?)
• ""¡Estoy muy ocupado! ¿Y usted?"" (我很忙！您呢?)
• ""¡Está bien!"" (还可以!)",No,Relevo,Chino Mandarín,,Desconocido,1,,,"Saludo Formal, Sustantivo, Verbos",Ilustración,Icono,,
Saludo Informal,U.Chile,Captura_de_pantalla_2025-06-11_225450.png,"La imagen es una página de un libro de texto con una ilustración en blanco y negro de una mujer joven con cabello oscuro y liso, vestida con jeans y una chaqueta, sosteniendo un libro. La ilustración tiene un estilo de dibujo lineal y sombreado. Los colores predominantes son el blanco del fondo de la página, el negro de la tinta y un tono verde oliva en el lado derecho de la imagen, que enmarca la ilustración.",No,Relevo,Chino Mandarín,,Desconocido,2,,,Saludo Informal,Ilustración,Icono,,
Buenas,U.Chile,saludos.png,"La imagen muestra una página de un libro de texto con una ilustración en blanco y negro de dos hombres dándose la mano. La ilustración tiene un estilo de dibujo lineal y sombreado. Los colores predominantes son el blanco del fondo de la página, el negro de la tinta y un tono gris azulado oscuro que enmarca la ilustración y la sección de texto. En la parte inferior derecha, hay un patrón repetitivo de ondas o escamas en blanco y negro.",No,Anclaje,Chino Mandarín,,Desconocido,3,,,Saludo Formal,Ilustración,índice,"El acto de estrechar manos es indicio de un saludo o despedida, pero no es especifico de cual. ",
Mouth,U.Chile,Recurso_1.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una fotografía a color de una boca abierta, mostrando los dientes y la lengua. La boca tiene labios rosados y encías rojizas. Debajo de la fotografía, se lee ""kǒu"" en negro y, finalmente, ""mouth"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,4,,,Vocabulario,Foto,Icono,,
To whirl,U.Chile,Recurso_2.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una ilustración de un remolino o torbellino en tonos de azul, con líneas concéntricas que sugieren movimiento. Debajo de la ilustración, se lee ""huí"" en negro y, finalmente, ""to whirl"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,5,,NOOOOO ES VOLVERRR COMO DE VOLVER A CASAAA NO DE TORNADO O ESPIRALES JKDASHJKDASASDHJK,"Verbos, Vocabulario",Ilustración,Icono,,
Product,U.Chile,Recurso_3.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una fotografía a color que muestra una variedad de productos, incluyendo osos de peluche, botellas, latas y otros artículos. Debajo de la fotografía, se lee ""pǐn"" en negro y, finalmente, ""product"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,6,,,Vocabulario,Foto,Icono,,
To sing,U.Chile,Recurso_4.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una fotografía a color de un hombre joven cantando en un micrófono, con la cabeza inclinada hacia atrás y los ojos cerrados. Viste una camiseta a rayas horizontales. Debajo de la fotografía, se lee ""chàng"" en negro y, finalmente, ""to sing"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,7,,,"Hobbies, Verbos, Vocabulario",Foto,Icono,,
Question particle,U.Chile,Recurso_5.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una ilustración de un signo de interrogación grande en color gris sobre un fondo rojo cuadrado con esquinas redondeadas, enmarcado por un borde gris. Debajo de la ilustración, se lee ""ma"" en negro y, finalmente, ""question particle"" también en negro.",No,Anclaje,Chino Mandarín,,Desconocido,8,,,"Gramatica, Interrogación",Ícono/simbolo,Icono,,
Haha,U.Chile,Recurso_6.png,"La imagen es una tarjeta o recuadro con un fondo blanco o crema claro. En la parte superior, hay un carácter chino simplificado en negro. Debajo, hay una fotografía de un grupo de emoticonos amarillos con diferentes expresiones de risa, algunos con la boca abierta y la lengua visible. Debajo de la fotografía, se lee ""hā"" en negro y, finalmente, ""ha ha"" también en negro.",Si,Anclaje,Chino Mandarín,,Desconocido,9,,,Conceptos,meme,índice,Índice de algo gracioso.,
Let us,U.Chile,Recurso_7.png,"Exclamacion, exigencia. Fuera del contexto de esta imagen, la particula “ba” se utiliza para dar sugerencias u ordenes en un tono amable.",Si,Anclaje,Chino Mandarín,,Desconocido,10,,"ba no corresponde a una exclamacion, sino que a una sugerencia u orden en tono amable",Expresión Fática,Ícono/simbolo,Icono,,
